0.138315 0.001680
0.116910 0.002230
0.102938 0.002801
0.128617 0.004914
0.131010 0.006647
0.132524 0.004996
0.123772 0.002398
0.143781 0.005096
0.143547 0.005796
0.152944 0.007288
0.175605 0.005375
0.221900 0.030116
0.222669 0.026500
0.220560 0.031797
0.240923 0.025445
0.208586 0.021576
0.222686 0.029647
0.219867 0.022087
0.216490 0.020236
0.237134 0.028375
0.240836 0.029599
0.224315 0.024997
0.235416 0.026420
0.256815 0.032867
0.264253 0.032326
0.288220 0.037769
0.308480 0.039788
0.287535 0.024468
0.329310 0.043361
0.347594 0.058693
0.337924 0.058972
0.355375 0.063096
0.386230 0.082749
0.392497 0.088014
0.413449 0.100522
0.421114 0.098799
0.419115 0.100375
0.409855 0.095781
0.415604 0.093302
0.439957 0.102152
0.437823 0.101174
0.431042 0.100743
0.435708 0.100589
0.432285 0.099025
0.443756 0.101877
0.432087 0.098624
0.436473 0.103146
0.441807 0.099594
0.450896 0.097574
0.462492 0.099628
0.463155 0.099594
0.473776 0.102442
0.473585 0.098029
0.480934 0.094144
0.484418 0.093007
0.489484 0.089560
0.498509 0.084678
0.503685 0.082833
0.509629 0.088588
0.522506 0.085774
0.526216 0.086020
0.527724 0.088451
0.521903 0.091688
0.518724 0.087219
0.520338 0.087543
0.519089 0.084945
0.530407 0.089827
0.538309 0.090530
0.537454 0.087674
0.537467 0.086683
0.534839 0.085672
0.537854 0.084086
0.536321 0.092265
